SEASON,Global,NH,SH,WNP,ENP,NA,SI,SP,NI
1980,-6.951219512,-7.390243902,0.43902439,-1.87804878,-2.390243902,-1.682926829,0.243902439,0.195121951,-1.43902439
1981,-7.951219512,-2.390243902,-3.56097561,3.12195122,-2.390243902,-1.682926829,-1.756097561,-3.804878049,-1.43902439
1982,-6.951219512,-3.390243902,-1.56097561,0.12195122,5.609756098,-7.682926829,0.243902439,-3.804878049,-1.43902439
1983,-8.951219512,-8.390243902,0.43902439,-2.87804878,4.609756098,-8.682926829,-5.756097561,5.195121951,-1.43902439
1984,9.048780488,3.609756098,4.43902439,2.12195122,3.609756098,-0.682926829,4.243902439,1.195121951,-1.43902439
1985,9.048780488,3.609756098,2.43902439,0.12195122,6.609756098,-1.682926829,2.243902439,3.195121951,-1.43902439
1986,-0.951219512,-7.390243902,3.43902439,1.12195122,-0.390243902,-6.682926829,5.243902439,1.195121951,-1.43902439
1987,-9.951219512,-7.390243902,-0.56097561,-2.87804878,3.609756098,-6.682926829,-6.756097561,4.195121951,-1.43902439
1988,-11.95121951,-6.390243902,-2.56097561,0.12195122,-3.390243902,-1.682926829,-2.756097561,-2.804878049,-1.43902439
1989,7.048780488,2.609756098,2.43902439,5.12195122,0.609756098,-1.682926829,2.243902439,2.195121951,-1.43902439
1990,9.048780488,8.609756098,0.43902439,5.12195122,3.609756098,1.317073171,2.243902439,-1.804878049,-1.43902439
1991,-11.95121951,-6.390243902,-2.56097561,4.12195122,-3.390243902,-5.682926829,-1.756097561,-3.804878049,-1.43902439
1992,9.048780488,7.609756098,3.43902439,4.12195122,11.6097561,-6.682926829,-1.756097561,3.195121951,-1.43902439
1993,-3.951219512,-4.390243902,0.43902439,4.12195122,-2.390243902,-4.682926829,-2.756097561,3.195121951,-1.43902439
1994,10.04878049,5.609756098,2.43902439,9.12195122,3.609756098,-5.682926829,7.243902439,-2.804878049,-1.43902439
1995,-5.951219512,-2.390243902,-1.56097561,0.12195122,-7.390243902,6.317073171,0.243902439,-3.804878049,-1.43902439
1996,-1.951219512,-4.390243902,1.43902439,6.12195122,-9.390243902,0.317073171,3.243902439,-0.804878049,-1.43902439
1997,7.048780488,-1.390243902,6.43902439,4.12195122,1.609756098,-5.682926829,1.243902439,7.195121951,-1.43902439
1998,-6.951219512,-13.3902439,3.43902439,-8.87804878,-4.390243902,1.317073171,-3.756097561,10.19512195,-1.43902439
1999,-13.95121951,-14.3902439,0.43902439,-4.87804878,-7.390243902,-0.682926829,0.243902439,0.195121951,-1.43902439
2000,2.048780488,-0.390243902,1.43902439,-1.87804878,1.609756098,1.317073171,2.243902439,0.195121951,-1.43902439
2001,-6.951219512,-0.390243902,-2.56097561,1.12195122,-2.390243902,2.317073171,-4.756097561,-1.804878049,-1.43902439
2002,-8.951219512,-6.390243902,-1.56097561,-2.87804878,-1.390243902,-0.682926829,0.243902439,-2.804878049,-1.43902439
2003,2.048780488,-3.390243902,2.43902439,-4.87804878,-0.390243902,3.317073171,4.243902439,1.195121951,-1.43902439
2004,-3.951219512,-2.390243902,-0.56097561,3.12195122,-5.390243902,1.317073171,1.243902439,-2.804878049,-1.43902439
2005,11.04878049,10.6097561,0.43902439,-1.87804878,-2.390243902,14.31707317,1.243902439,-0.804878049,0.56097561
2006,-7.951219512,-4.390243902,-1.56097561,-2.87804878,1.609756098,-3.682926829,-2.756097561,-0.804878049,0.56097561
2007,-5.951219512,-5.390243902,-0.56097561,-1.87804878,-6.390243902,1.317073171,0.243902439,-0.804878049,1.56097561
2008,3.048780488,1.609756098,0.43902439,-3.87804878,-0.390243902,3.317073171,5.243902439,-3.804878049,2.56097561
2009,2.048780488,-1.390243902,1.43902439,-2.87804878,2.609756098,-3.682926829,2.243902439,1.195121951,2.56097561
2010,-9.951219512,-10.3902439,-0.56097561,-10.87804878,-8.390243902,5.317073171,-0.756097561,1.195121951,3.56097561
2011,-8.951219512,-4.390243902,-2.56097561,-3.87804878,-6.390243902,5.317073171,-4.756097561,0.195121951,0.56097561
2012,1.048780488,6.609756098,-2.56097561,0.12195122,-0.390243902,6.317073171,0.243902439,-5.804878049,0.56097561
2013,10.04878049,9.609756098,-0.56097561,3.12195122,2.609756098,0.317073171,1.243902439,-0.804878049,3.56097561
2014,-1.951219512,-2.390243902,-0.56097561,-3.87804878,4.609756098,-4.682926829,-0.756097561,1.195121951,1.56097561
2015,9.048780488,8.609756098,-0.56097561,0.12195122,8.609756098,-1.682926829,0.243902439,0.195121951,1.56097561
2016,2.048780488,8.609756098,-4.56097561,0.12195122,3.609756098,2.317073171,-5.756097561,-0.804878049,2.56097561
2017,2.048780488,8.609756098,-4.56097561,2.12195122,0.609756098,4.317073171,-3.756097561,-2.804878049,1.56097561
2018,15.04878049,16.6097561,-1.56097561,4.12195122,5.609756098,2.317073171,-0.756097561,-0.804878049,4.56097561
2019,15.04878049,11.6097561,1.43902439,2.12195122,1.609756098,3.317073171,3.243902439,0.195121951,4.56097561
2020,18.04878049,16.6097561,0.43902439,-1.87804878,-1.390243902,16.31707317,0.243902439,1.195121951,3.56097561
